"@SHSanders45 @PressSec What can you tell us about this Sarah?
https://t.co/WMeDE1jcRt",neutral
"@Cernovich Everyone calling President Trump ""stupid"" isn't as smart as he is otherwise they would be President instead.
#caring",neutral
"RT @OhNoSheTwitnt: Maybe instead of blaming Trump's win on ""Hillary was a bad candidate"" we should blame it on ""A lot of America is racist…",neutral
RT @KeithOlbermann: NEW VIDEO: Mueller going after Trump for White House cover-up of Russia Adoption meeting. @DonaldJTrumpJr helped him ht…,neutral
RT @funder: Wow #DeportMelania really pisses Republicans off—especially Trump. So don't retweet it. 😱,neutral
RT @washingtonpost: McConnell pours cold water on Trump-Schumer effort to repeal debt ceiling https://t.co/K8pYowhh0z,negative
RT @kurteichenwald: **PLEASE RETWEET** since Trump is actively working to stop ppl from knowing how to obtain insurance they are legally en…,neutral
"RT @YesYoureRacist: Exhibit A that Trump's voter ""fraud"" commission is really about voter *suppression* https://t.co/akv6CdJsQo",neutral
RT @WorldfNature: #Trump administration doesn't want to talk about climate change - CNN https://t.co/GCP16ph7zc https://t.co/X9RjJ4LQ3p,neutral
"RT @brianklaas: 16 years ago, today, Trump talked about how his building was now the tallest one since the World Trade Center fell. https:/…",neutral
RT @tariqnasheed: This is Trump's America....White Teens Attempt To Lynch An 8-Year-Old Black Boy In New Hampshire   https://t.co/NfOG8xKqc…,neutral
"ESPN Scolds Jemele Hill for Calling Trump a ‘White Supremacist,’ But Stays Mum on Discipline https://t.co/lkcDh6WvPM",neutral
"*** BRAVO, CALIFORNIA! ***

#DACA #HereToStay https://t.co/6PEMSKAgds",neutral
@johwri @BSO Trump lies all day on Twitter.  #jemelehill tells #truth.   #FireTrump,neutral
"RT @NPR: Katy Tur tells @nprfreshair: Trump called her ""Little Katy."" Kissed her on the cheek backstage. Tried to intimidate. https://t.co/…",neutral
RT @JordanUhl: Thousands of people died on 9/11 and Trump’s initial reaction was happiness his building was the tallest again https://t.co/…,neutral
RT @_Nabarra: Quero-me rir quando o Trump descobrir que o Irma entrou nos EUA sem documentos!,neutral
RT @markknoller: Invited to bipartisan WH dinner tonight with Pres Trump - seeking support for his tax cut bill: https://t.co/QbhswFd3D9,neutral
RT @thehill: Trump Organization deletes birther crusade from Trump's website bio https://t.co/o3MuUNLnLQ https://t.co/cED2uQtOnX,neutral
RT @Ireland0828: Hope these 3 Democrats having dinner w/ Trump are not setting themselves up for Trump to try &amp; primary them. @SenGillibran…,neutral
"RT @s_kilinchoca: 5- seçimi kaybedince Trump'ı elindeki medya ve istihbarat gücüyle vurdu ""Rus ajanı"" olarak gösterdi.",neutral
When will Donald Trump donate his $1M of tax payers money&gt; https://t.co/S40yDtLGgC,neutral
"RT @wesley_jordan: ""If I were to run, I'd run as a Republican. They're the dumbest group of voters in the country. I could lie &amp; they'd eat…",neutral
RT @Amy_Siskind: If you were asked today: what does the Trump era stand for? Job growth has slowed. No agenda or legislative accomplishment…,neutral
"RT @Amy_Siskind: Remember when Trump stood at the Carrier plant in Indiana, and pretended he stood for creating jobs for anyone other than…",neutral
RT @woodruffbets: John Dowd told me he has been personally delivering Trump campaign documents to Mueller https://t.co/6ShJM1kOLr,neutral
RT @EllenPompeo: News flash... I don't want trump supporters for fans Einstein https://t.co/cjJTlZKPpn,neutral
"RT @realDonaldTrump: Congratulations to Eric &amp; Lara on the birth of their son, Eric ""Luke"" Trump this morning! https://t.co/Aw0AV82XdE",neutral
RT @JordanUhl: Thousands of people died on 9/11 and Trump’s initial reaction was happiness his building was the tallest again https://t.co/…,neutral
"RT @wesley_jordan: ""If I were to run, I'd run as a Republican. They're the dumbest group of voters in the country. I could lie &amp; they'd eat…",neutral
"RT @BillKristol: This was Donald Trump, calling in to a TV station on Sep. 11, 2001. https://t.co/I6bKvxI2pk",neutral
"RT @Unpersuaded112: Hey #Donald #Trump @realDonaldTrump , that is YOU, for real man, soak it in real good. https://t.co/fCZgUUw1TQ",positive
Trump open to Dreamers relief legislation without wall funding: aide https://t.co/qfjWvrWzda,neutral
RT @hardhouz13: Report: Trump's Legal Team Drew Up a Statement in ... https://t.co/Tgrdnda2Y8,neutral
RT @Yamiche: Pope Francis is calling out President Trump. https://t.co/5FFTiXbwCp,neutral
RT @kelly2277: 🤔Russia Was Sure Planning A Party When Trump Was Elected. Secret Document Shows - BuzzFeed News https://t.co/cViPaIfaV0,neutral
"@BabyBoiLogey It would be something stupid like ""TRUMP CARES MORE ABOUT PUPPIES THAN HIS COUNTRY!!!!""",neutral
RT @mitchellvii: Those who don't #TrustTrump now never did and have just been skitchers riding Trump's bumper to fame. Trump will rise and…,neutral
"RT @lrkthecpa: Doesn't want to offend his hero - Waiting for a big Russian payoff in the future. If he plays his cards right, maybe Trump T…",neutral
RT @natespuewell: Trump Jr. denies collusion. Just a friendly chat with a foreign adversary about how to influence a US election with hacke…,neutral
"RT @GeorgeTakei: Another day, another promise broken. https://t.co/3RgcIlhz0K",neutral
RT @ACLU: Trump’s sham election commission is designed to spread the lie of rampant fraud in order to justify voter suppression. #DontMessW…,neutral
"RT @Ephraim319A: Deep State Drugging Trump Ahead of Coup, Sources Say https://t.co/TEIBzvch4A via @realalexjones",neutral
RT @Brasilmagic: Robert Mueller is ‘going for the kill’ on Trump-Russia probe: report https://t.co/WVIQr4BGdc,neutral
"RT @nytimes: The U.S. says it could stay in Paris under ""suitable terms."" Now a top Trump adviser will host a climate meeting. https://t.co…",positive
"RT @YesYoureRacist: Exhibit A that Trump's voter ""fraud"" commission is really about voter *suppression* https://t.co/akv6CdJsQo",neutral
"RT @realDonaldTrump: Congratulations to Eric &amp; Lara on the birth of their son, Eric ""Luke"" Trump this morning! https://t.co/Aw0AV82XdE",neutral
"RT @HawaiiDelilah: Saw this recently:""Bernie was held to normal standards during the campaign, Hillary- to impossible standards, Trump- to…",neutral
"RT @AnneRiceAuthor: I love  Hillary.  It took 3 men running against her - Putin, Sanders  &amp; Trump -  to take her down.",neutral
RT @CNN: White House denies reports that Trump lawyers thought Kushner should step down https://t.co/kjeQWLRCwa https://t.co/3xjd1AqmJi,neutral
"RT @mitchellvii: Anyone claiming Trump is being controlled by Kelly has NO IDEA what they are talking about, trusting ""unnamed sources"" fro…",neutral
"RT @realDonaldTrump: Congratulations to Eric &amp; Lara on the birth of their son, Eric ""Luke"" Trump this morning! https://t.co/Aw0AV82XdE",neutral
Melania Trump volta a ser arrasada pelo seu ‘look’ https://t.co/Ijsixen7DK https://t.co/v01v5vNBs2,neutral
President Trump Replies to Katy Tur’s Claim He ‘Kissed’ Her  https://t.co/mk2kx5CEzr,neutral
RT @shadesof666: she called Trump out on his shit and dragged him to filth at a pageant that he funds. Miss Texas you're doing amazing swee…,neutral
"RT @realDonaldTrump: Congratulations to Eric &amp; Lara on the birth of their son, Eric ""Luke"" Trump this morning! https://t.co/Aw0AV82XdE",neutral
RT @DorrissTH: Joy Reid Declares the Trump Era as the ‘Worst Time to Be a Human’  https://t.co/oLaheSjyVg,neutral
"RT @mitchellvii: ""Uber-misogynist"" Trump names yet another woman, Hope Hicks, to his leadership team.  He clearly sucks at misogyny.",neutral
@DemWrite Trump will even throw his own reps under the bus if he thinks his pathetic ego can benefit.,neutral
RT @20committee: Trump isn't a right-winger. Trump isn't a left-winger. He's a malignant narcissist who apes the views of anybody who brief…,neutral
RT @shadesof666: she called Trump out on his shit and dragged him to filth at a pageant that he funds. Miss Texas you're doing amazing swee…,neutral
"RT @mitchellvii: ""Uber-misogynist"" Trump names yet another woman, Hope Hicks, to his leadership team.  He clearly sucks at misogyny.",neutral
RT @SethAbramson: BREAKING: Classified Intel Reports Reveal Trump Campaign Illegally Negotiated with the Russians During the Campaign https…,neutral
RT @BrexitCentral: London has retained its position as the world’s top financial centre https://t.co/BAl1gCIxHD,neutral
